dataset,condition,hemi,subject_row,measure,value,dataset_pair
PNI,synthlayer_v0.3,L,4,consistency,,
PNI,synthlayer_v0.3,L,5,consistency,,
PNI,synthlayer_v0.3,L,6,consistency,,
PNI,synthlayer_v0.3,L,7,consistency,,
PNI,synthlayer_v0.3,L,8,consistency,,
PNI,synthlayer_v0.3,L,9,consistency,,
PNI,synthlayer_v0.3,L,10,consistency,,
PNI,synthlayer_v0.3,L,11,consistency,,
PNI,synthlayer_v0.3,L,12,consistency,,
PNI,synthlayer_v0.3,L,13,consistency,,
PNI,synthlayer_v0.3,L,14,consistency,,
PNI,synthlayer_v0.3,L,15,consistency,,
PNI,synthlayer_v0.3,L,16,consistency,,
PNI,synthlayer_v0.3,L,17,consistency,,
PNI,synthlayer_v0.3,L,18,consistency,,
PNI,synthlayer_v0.3,L,19,consistency,,
PNI,synthlayer_v0.3,L,20,consistency,,
PNI,synthlayer_v0.3,L,21,consistency,,
PNI,synthlayer_v0.3,L,22,consistency,,
PNI,synthlayer_v0.3,L,23,consistency,,
PNI,synthlayer_v0.3,L,24,consistency,,
PNI,synthlayer_v0.3,L,25,consistency,,
PNI,synthlayer_v0.3,R,0,consistency,,
PNI,synthlayer_v0.3,R,1,consistency,,
PNI,synthlayer_v0.3,R,2,consistency,,
PNI,synthlayer_v0.3,R,3,consistency,,
PNI,synthlayer_v0.3,R,4,consistency,,
PNI,synthlayer_v0.3,R,5,consistency,,
PNI,synthlayer_v0.3,R,6,consistency,,
PNI,synthlayer_v0.3,R,7,consistency,,
PNI,synthlayer_v0.3,R,8,consistency,,
PNI,synthlayer_v0.3,R,9,consistency,,
PNI,synthlayer_v0.3,R,10,consistency,,
PNI,synthlayer_v0.3,R,11,consistency,,
PNI,synthlayer_v0.3,R,12,consistency,,
PNI,synthlayer_v0.3,R,13,consistency,,
PNI,synthlayer_v0.3,R,14,consistency,,
PNI,synthlayer_v0.3,R,15,consistency,,
PNI,synthlayer_v0.3,R,16,consistency,,
PNI,synthlayer_v0.3,R,17,consistency,,
PNI,synthlayer_v0.3,R,18,consistency,,
PNI,synthlayer_v0.3,R,19,consistency,,
PNI,synthlayer_v0.3,R,20,consistency,,
